name,parent_name
купе,None
родстер,купе
седан,None
хэтчбек 5 дв.,хэтчбек
хэтчбек 3 дв.,хэтчбек
внедорожник 5 дв.,внедорожник
универсал 5 дв.,универсал
седан 2 дв.,седан
кабриолет,купе
тарга,купе
универсал 3 дв.,универсал
купе-хардтоп,купе
лифтбек,хэтчбек
пикап двойная кабина,пикапы
внедорожник 3 дв.,внедорожник
компактвэн,микроавтобусы и вэны
внедорожник открытый,внедорожник
минивэн,микроавтобусы и вэны
спидстер,купе
лимузин,седан
фастбек,купе
хэтчбек 4 дв.,хэтчбек
пикап одинарная кабина,пикапы
универсал,None
седан-хардтоп,седан
микровэн,микроавтобусы и вэны
пикап полуторная кабина,пикапы
фургон,микроавтобусы и вэны
фаэтон,купе
фаэтон-универсал,купе
хэтчбек,None
внедорожник,None
микроавтобусы и вэны,None
пикапы,None
